,x,y
0,135.14285714285555,151
1,136.2142857142841,150
2,137.28571428571271,149
3,138.35714285714127,149
4,139.42857142856982,149
5,140.4999999999984,151
6,141.57142857142696,152
7,142.64285714285558,154
8,143.71428571428413,154
9,144.7857142857127,155
10,145.85714285714127,156
11,146.92857142856982,156
12,147.9999999999984,158
13,149.071428571427,161
14,150.14285714285555,161
15,151.21428571428413,157
16,152.2857142857127,158
17,153.35714285714127,159
18,154.42857142856982,159
19,155.4999999999984,158
20,156.571428571427,157
21,157.64285714285555,156
22,158.71428571428413,156
23,159.7857142857127,157
24,160.85714285714124,157
25,161.92857142856985,157
26,162.9999999999984,157
27,164.071428571427,157
28,165.14285714285555,156
29,166.2142857142841,156
30,167.2857142857127,156
31,168.35714285714127,155
32,169.42857142856985,154
33,187.64285714285555,139
34,188.71428571428413,138
35,189.7857142857127,137
36,190.85714285714127,136
37,191.92857142856982,135
38,192.9999999999984,134
39,194.071428571427,134
40,212.28571428571271,181
41,213.3571428571413,179
42,214.42857142856985,178
43,215.49999999999844,178
44,216.571428571427,180
45,217.64285714285558,181
46,218.71428571428413,183
47,219.7857142857127,184
48,220.8571428571413,185
49,221.92857142856988,186
50,222.99999999999844,187
51,224.07142857142702,186
52,226.21428571428416,193
53,227.28571428571271,198
54,228.35714285714127,199
55,229.42857142856985,198
56,230.4999999999984,197
57,231.571428571427,197
58,232.64285714285555,197
59,233.71428571428416,197
60,234.78571428571274,196
61,235.8571428571413,195
62,236.92857142856985,194
63,237.99999999999844,193
64,239.071428571427,193
65,240.14285714285558,193
66,241.21428571428413,194
67,242.28571428571271,196
68,243.35714285714127,198
69,244.42857142856985,100
70,245.49999999999847,100
71,246.57142857142702,101
72,331.21428571428413,119
73,332.2857142857127,119
74,333.3571428571413,118
75,334.42857142856985,116
76,335.49999999999847,115
77,336.571428571427,114
78,337.6428571428556,113
79,338.71428571428413,111
80,339.78571428571274,110
81,340.8571428571413,109
82,341.92857142856985,109
83,342.9999999999984,108
84,344.07142857142696,108
85,345.1428571428556,107
86,346.2142857142842,106
87,347.28571428571274,105
88,348.3571428571413,104
89,349.42857142856985,104
90,350.4999999999984,105
91,351.571428571427,104
92,352.6428571428556,105
93,353.71428571428413,104
94,354.7857142857127,103
95,355.8571428571413,104
96,356.92857142856985,104
97,357.99999999999847,103
98,359.071428571427,103
99,360.1428571428556,103
100,361.21428571428413,104
101,362.28571428571274,104
102,476.9285714285699,114
103,477.9999999999984,118
104,479.071428571427,118
105,480.1428571428556,116
106,481.2142857142842,116
107,482.2857142857127,115
108,483.3571428571413,115
109,484.42857142856985,115
110,485.49999999999847,115
111,486.57142857142696,115
112,487.6428571428556,114
113,488.7142857142842,114
114,489.78571428571274,114
115,490.8571428571413,115
116,491.92857142856985,114
117,492.99999999999847,115
118,494.07142857142696,115
119,495.1428571428556,115
120,496.21428571428413,115
121,497.28571428571274,115
122,498.35714285714124,115
123,499.42857142856985,115
124,500.4999999999984,115
125,501.571428571427,115
126,502.64285714285563,115
127,503.71428571428413,115
128,504.78571428571274,115
129,505.8571428571413,114
130,506.9285714285699,114
131,507.9999999999984,115
132,509.071428571427,114
133,510.1428571428555,113
134,511.21428571428413,113
135,512.2857142857126,112
136,513.3571428571413,112
137,514.4285714285699,112
138,515.4999999999984,112
139,516.5714285714271,113
140,517.6428571428555,113
141,518.7142857142842,113
142,519.7857142857127,113
143,520.8571428571413,113
144,521.9285714285699,112
145,522.9999999999984,112
146,524.071428571427,112
147,525.1428571428556,112
148,526.2142857142842,112
149,527.2857142857127,111
150,528.3571428571413,111
151,529.4285714285699,111
152,530.4999999999984,111
153,531.571428571427,111
154,532.6428571428556,111
155,533.7142857142841,111
156,534.7857142857127,111
157,535.8571428571413,111
158,536.9285714285699,112
159,537.9999999999984,112
160,539.071428571427,112
161,540.1428571428556,112
162,541.2142857142842,111
163,542.2857142857127,109
164,543.3571428571413,111
165,544.4285714285699,113
166,545.4999999999984,113
167,546.5714285714271,112
168,547.6428571428555,112
169,548.7142857142842,112
170,549.7857142857126,112
171,904.42857142857,162
172,905.4999999999984,160
173,906.571428571427,159
174,907.6428571428556,159
175,908.7142857142842,158
176,909.7857142857126,156
177,916.2142857142842,163
178,917.2857142857127,162
179,918.3571428571414,160
180,919.4285714285697,154
181,927.9999999999985,174
182,929.071428571427,169
183,930.1428571428555,168
184,931.2142857142842,167
185,932.2857142857127,166
186,933.3571428571412,165
187,1012.6428571428556,124
188,1013.7142857142841,122
189,1014.7857142857127,119
190,1015.8571428571413,118
191,1016.92857142857,117
192,1017.9999999999984,116
193,1019.071428571427,116
194,1020.1428571428556,116
195,1021.2142857142842,116
196,1022.2857142857126,116
197,1023.3571428571413,116
198,1024.42857142857,116
199,1025.4999999999984,115
200,1026.571428571427,114
201,1027.6428571428555,113
202,1028.7142857142842,113
203,1029.7857142857129,113
204,1030.8571428571413,113
205,1031.9285714285697,113
206,1032.9999999999984,112
207,1034.071428571427,111
208,1035.1428571428555,112
209,1036.214285714284,111
210,1037.2857142857126,111
211,1038.3571428571413,111
212,1039.42857142857,110
213,1040.4999999999984,110
214,1041.5714285714268,109
215,1042.6428571428555,109
216,1043.7142857142842,109
217,1044.7857142857129,109
218,1045.8571428571413,109
219,1046.9285714285697,109
220,1047.9999999999984,109
221,1049.071428571427,109
222,1050.1428571428557,108
223,1051.2142857142842,108
224,1052.2857142857126,108
225,1053.3571428571413,108
226,1054.42857142857,108
227,1055.4999999999984,108
228,1056.571428571427,108
229,1057.6428571428555,108
230,1058.7142857142842,108
231,1059.7857142857126,107
232,1060.8571428571413,107
233,1061.92857142857,107
234,1135.8571428571413,131
235,1136.92857142857,128
236,1137.9999999999984,124
237,1139.071428571427,120
238,1140.1428571428555,119
239,1141.2142857142842,118
240,1142.2857142857129,118
241,1143.3571428571413,117
242,1144.4285714285697,116
243,1145.4999999999984,116
244,1146.571428571427,115
245,1147.6428571428555,115
246,1148.714285714284,114
247,1149.7857142857126,114
248,1150.8571428571413,113
249,1151.92857142857,113
250,1152.9999999999984,112
251,1154.0714285714268,111
252,1155.1428571428555,111
253,1156.2142857142842,111
254,1157.2857142857129,110
255,1158.3571428571413,110
256,1159.4285714285697,109
257,1160.4999999999984,109
258,1161.571428571427,109
259,1162.6428571428557,109
260,1163.7142857142842,109
261,1164.7857142857126,109
262,1165.8571428571413,108
263,1166.92857142857,108
264,1167.9999999999984,107
265,1169.071428571427,107
266,1170.1428571428555,107
267,1171.2142857142842,107
268,1172.2857142857126,106
269,1173.3571428571413,107
270,1174.42857142857,106
271,1175.4999999999984,106
272,1176.571428571427,107
273,1177.6428571428555,107
274,1178.7142857142842,107
275,1179.7857142857129,108
276,1180.8571428571413,110
277,1181.9285714285697,111
278,1182.9999999999984,112
279,1184.071428571427,113
280,1185.1428571428555,111
281,1186.214285714284,108
282,1206.571428571427,124
283,1207.6428571428555,124
284,1208.7142857142842,122
285,1209.7857142857126,120
286,1210.8571428571413,120
287,1211.92857142857,120
288,1212.9999999999984,120
289,1214.071428571427,120
290,1215.1428571428555,120
291,1216.2142857142842,120
292,1217.2857142857129,119
293,1218.3571428571413,118
294,1219.4285714285697,116
295,1220.4999999999984,120
296,1221.571428571427,115
297,1222.6428571428555,113
298,1223.714285714284,112
299,1224.7857142857126,110
300,1225.8571428571413,110
301,1226.92857142857,109
302,1227.9999999999984,108
303,1229.0714285714268,107
304,1230.1428571428555,106
305,1231.2142857142842,106
306,1232.2857142857129,106
307,1233.3571428571413,106
308,1234.4285714285697,106
309,1235.4999999999984,107
310,1236.571428571427,107
311,1237.6428571428557,107
312,1238.7142857142842,106
313,1239.7857142857126,107
314,1240.8571428571413,107
315,1241.92857142857,107
316,1242.9999999999984,107
317,1244.071428571427,107
318,1245.1428571428555,107
319,1246.2142857142842,106
320,1247.2857142857126,107
321,1248.3571428571413,106
322,1249.42857142857,106
323,1250.4999999999984,107
324,1251.571428571427,105
325,1252.6428571428555,105
326,1253.7142857142842,106
327,1254.7857142857129,106
328,1255.8571428571413,106
329,1256.9285714285697,106
330,1257.9999999999984,107
331,1259.071428571427,107
332,1260.1428571428555,107
333,1261.214285714284,107
334,1262.2857142857126,108
335,1263.3571428571413,108
336,1264.42857142857,110
337,1265.4999999999984,110
338,1266.5714285714268,111
339,1267.6428571428555,110
340,1268.7142857142842,111
341,1269.7857142857129,111
342,1286.92857142857,149
343,1287.9999999999984,120
344,1289.071428571427,121
345,1290.1428571428555,120
346,1291.2142857142842,119
347,1292.2857142857129,118
348,1293.3571428571413,118
349,1294.4285714285697,118
350,1295.4999999999984,117
351,1296.571428571427,116
352,1297.6428571428555,115
353,1298.714285714284,115
354,1299.7857142857126,115
355,1300.8571428571413,115
356,1301.92857142857,115
357,1302.9999999999984,115
358,1304.0714285714268,116
359,1305.1428571428555,115
360,1306.2142857142842,115
361,1307.2857142857129,115
362,1317.9999999999984,127
363,1319.071428571427,124
364,1320.1428571428555,122
365,1321.2142857142842,119
366,1322.2857142857126,116
367,1323.3571428571413,113
368,1324.42857142857,113
369,1325.4999999999984,113
370,1326.571428571427,113
371,1327.6428571428555,113
372,1328.7142857142842,114
373,1329.7857142857129,117
374,1330.8571428571413,117
375,1331.9285714285697,118
376,1332.9999999999984,118
377,1334.071428571427,118
378,1335.1428571428555,117
379,1336.214285714284,116
380,1337.2857142857126,115
381,1338.3571428571413,114
382,1339.42857142857,114
383,1340.4999999999984,114
384,1341.5714285714268,114
385,1342.6428571428555,114
386,1343.7142857142842,113
387,1344.7857142857129,112
388,1345.8571428571413,111
389,1346.9285714285697,111
390,1347.9999999999984,112
391,1349.071428571427,112
392,1350.1428571428557,112
393,1351.2142857142842,112
394,1352.2857142857126,113
395,1353.3571428571413,113
396,1354.42857142857,113
397,1355.4999999999984,113
398,1356.571428571427,113
399,1357.6428571428555,113
400,1358.7142857142842,113
401,1359.7857142857126,111
402,1360.8571428571413,109
403,1375.8571428571413,100
404,1376.92857142857,125
405,1377.9999999999984,119
406,1379.0714285714268,118
407,1380.1428571428555,117
408,1381.2142857142842,117
409,1382.2857142857129,115
410,1383.3571428571413,115
411,1384.4285714285697,114
412,1385.4999999999984,113
413,1386.571428571427,112
414,1387.6428571428557,112
415,1388.7142857142842,112
416,1389.7857142857126,111
417,1390.8571428571413,111
418,1391.92857142857,110
419,1392.9999999999984,109
420,1394.071428571427,109
421,1395.1428571428555,109
422,1396.2142857142842,109
423,1397.2857142857126,108
424,1398.3571428571413,107
425,1399.42857142857,108
426,1400.4999999999984,108
427,1401.571428571427,108
428,1402.6428571428555,108
429,1403.7142857142842,108
430,1404.7857142857129,107
431,1405.8571428571413,108
432,1406.9285714285697,108
433,1407.9999999999984,110
434,1409.071428571427,108
435,1410.1428571428555,108
436,1411.2142857142842,109
437,1412.2857142857126,108
438,1413.3571428571413,108
439,1414.42857142857,109
440,1415.4999999999984,109
441,1416.5714285714268,109
442,1417.6428571428555,113
443,1418.7142857142842,110
444,1419.7857142857129,113
445,1420.8571428571413,115
446,1421.9285714285697,115
