"start","end","prob","logit","action","start","end"
4211,4390,0.52970636,8.466688,"playing recorder",4211,4390
4267,4426,0.5518338,8.718146,"playing recorder",4267,4426
4314,4458,0.4813562,7.876964,"playing recorder",4314,4458
4352,4493,0.42916647,7.8653393,"playing recorder",4352,4493
4390,4529,0.45573264,7.626767,"playing recorder",4390,4529
4426,4562,0.5520229,8.4180765,"playing recorder",4426,4562
4458,4599,0.5942367,8.781795,"playing recorder",4458,4599
4493,4629,0.48910514,8.184793,"playing recorder",4493,4629
4529,4662,0.47778398,9.282299,"playing recorder",4529,4662
4562,4704,0.48886833,8.487708,"playing recorder",4562,4704
4599,4757,0.25912777,6.632451,"playing recorder",4599,4757
4629,4787,0.38165253,7.690458,"playing recorder",4629,4787
4662,4840,0.29482764,6.8706317,"playing recorder",4662,4840
4704,4870,0.20926039,6.627427,"playing recorder",4704,4870
4757,4904,0.26308057,6.9215617,"recording music",4757,4904
4787,4934,0.29838464,6.959566,"playing recorder",4787,4934
4840,4971,0.22839625,6.2956567,"playing recorder",4840,4971
4870,5001,0.16742244,5.7404423,"playing recorder",4870,5001
4904,5053,0.19858071,6.0513635,"recording music",4904,5053
4934,5083,0.17419729,5.7530875,"recording music",4934,5083
4971,5137,0.18885887,5.9325285,"recording music",4971,5137
5001,5167,0.31254417,6.920516,"playing recorder",5001,5167
5053,5220,0.32386875,7.0602036,"playing recorder",5053,5220
5083,5257,0.3731131,7.3174024,"playing recorder",5083,5257
5137,5292,0.28384262,6.8123817,"playing recorder",5137,5292
5167,5322,0.16810814,5.9567733,"recording music",5167,5322
5220,5360,0.18580878,6.195052,"playing recorder",5220,5360
5257,5409,0.13423946,5.6688066,"playing recorder",5257,5409
5292,5446,0.19471173,6.1460633,"playing recorder",5292,5446
5322,5482,0.30101618,7.1027236,"playing recorder",5322,5482
5360,5523,0.20394102,6.247853,"playing recorder",5360,5523
5409,5557,0.1846414,6.3832874,"recording music",5409,5557
5446,5591,0.28652486,7.2422223,"playing recorder",5446,5591
5482,5639,0.27200857,7.4601297,"recording music",5482,5639
5523,5669,0.33926713,7.210278,"recording music",5523,5669
5557,5699,0.30964392,7.8852477,"recording music",5557,5699
5591,5754,0.32708082,7.3327966,"playing recorder",5591,5754
5639,5794,0.15774696,5.6977835,"playing recorder",5639,5794
5669,5834,0.13224491,5.585368,"recording music",5669,5834
5699,5867,0.14202613,5.550637,"recording music",5699,5867
5754,5897,0.24546398,6.804446,"recording music",5754,5897
5794,5929,0.26653188,7.644156,"recording music",5794,5929
5834,5965,0.40746605,8.502384,"playing recorder",5834,5965
5867,5995,0.38473296,8.590171,"playing recorder",5867,5995
5897,6047,0.2975823,8.166976,"playing recorder",5897,6047
5929,6105,0.2701785,7.030924,"recording music",5929,6105
5965,6135,0.25044963,6.5245085,"recording music",5965,6135
5995,6193,0.20112893,6.338778,"playing recorder",5995,6193
6047,6223,0.21128303,6.306497,"recording music",6047,6223
6105,6256,0.2939835,7.1190286,"recording music",6105,6256
6135,6310,0.36136037,7.221331,"recording music",6135,6310
6193,6342,0.49316096,8.490957,"recording music",6193,6342
6223,6374,0.49029902,8.239368,"recording music",6223,6374
6256,6406,0.34007108,7.6376395,"recording music",6256,6406
6310,6449,0.29328343,8.017721,"playing recorder",6310,6449
6342,6485,0.24037258,8.279221,"playing recorder",6342,6485
6374,6530,0.22015128,8.560836,"playing recorder",6374,6530
6406,6566,0.26349023,7.4795623,"recording music",6406,6566
6449,6601,0.26803955,7.182186,"recording music",6449,6601
6485,6631,0.32474327,7.584588,"playing recorder",6485,6631
6530,6681,0.21753159,6.6834884,"recording music",6530,6681
6566,6718,0.32650584,7.118272,"playing recorder",6566,6718
6601,6749,0.26826692,7.2447314,"playing recorder",6601,6749
6631,6799,0.2584812,6.6653757,"playing recorder",6631,6799
6681,6833,0.28857625,7.0469313,"playing recorder",6681,6833
6718,6863,0.14414261,5.797964,"recording music",6718,6863
6749,6893,0.19042577,6.143107,"recording music",6749,6893
6799,6925,0.20748548,6.658748,"playing recorder",6799,6925
6833,6971,0.34224492,6.977313,"playing recorder",6833,6971
6863,7001,0.16894695,5.9179115,"playing recorder",6863,7001
6893,7043,0.2325953,6.203377,"playing recorder",6893,7043
6925,7073,0.15214528,5.590134,"recording music",6925,7073
6971,7107,0.10444414,5.1183352,"recording music",6971,7107
7001,7144,0.24889293,6.5928836,"playing recorder",7001,7144
7043,7188,0.28106892,6.5873666,"playing recorder",7043,7188
7073,7225,0.26268902,6.682761,"playing recorder",7073,7225
7107,7267,0.37652722,7.459365,"playing recorder",7107,7267
7144,7297,0.40659913,7.8416305,"playing recorder",7144,7297
7188,7352,0.28334534,7.4123106,"playing recorder",7188,7352
7225,7407,0.3502172,7.6534057,"playing recorder",7225,7407
7267,7437,0.34790838,7.401982,"playing recorder",7267,7437
7297,7469,0.30306685,7.305911,"playing recorder",7297,7469
7352,7526,0.29301378,7.202544,"playing recorder",7352,7526
7407,7567,0.24021672,6.6421456,"playing recorder",7407,7567
7437,7609,0.21366704,6.4932194,"playing recorder",7437,7609
7469,7639,0.19591594,6.2627525,"playing recorder",7469,7639
7526,7692,0.2002688,6.449727,"playing recorder",7526,7692
7567,7722,0.21486245,6.220818,"playing recorder",7567,7722
7609,7763,0.19085488,5.960085,"playing recorder",7609,7763
7639,7820,0.13760392,5.547888,"recording music",7639,7820
7692,7865,0.09208111,5.255393,"recording music",7692,7865
7722,7915,0.08856793,5.1075206,"recording music",7722,7915
7763,7946,0.109195456,5.4139385,"recording music",7763,7946
7820,7986,0.11970301,5.586821,"recording music",7820,7986
7865,8020,0.09357465,5.1911674,"recording music",7865,8020
7915,8057,0.12366998,5.341907,"recording music",7915,8057
7946,8093,0.09292787,4.884672,"playing recorder",7946,8093
7986,8134,0.127837,5.520416,"playing recorder",7986,8134
8020,8200,0.18594153,6.0409055,"playing recorder",8020,8200
8057,8269,0.23545481,6.5269113,"playing recorder",8057,8269
8093,8299,0.24575217,6.814096,"playing recorder",8093,8299
8134,8334,0.16135995,6.084143,"playing recorder",8134,8334
8200,8372,0.24457447,6.6426864,"recording music",8200,8372
8269,8402,0.25486737,6.897625,"recording music",8269,8402
8299,8432,0.38965833,7.311214,"assembling computer",8299,8432
8334,8468,0.35123104,7.118312,"assembling computer",8334,8468
8372,8498,0.27097467,7.064425,"assembling computer",8372,8498
8402,8536,0.1573968,6.679588,"assembling computer",8402,8536
8432,8586,0.20425646,6.710279,"playing recorder",8432,8586
8468,8621,0.21055739,6.7517757,"playing recorder",8468,8621
8498,8659,0.22879212,6.817562,"playing recorder",8498,8659
8536,8695,0.15840332,6.3833933,"playing recorder",8536,8695
8586,8727,0.16044061,6.236601,"recording music",8586,8727
8621,8760,0.1311525,5.7546825,"recording music",8621,8760
8659,8790,0.13335076,5.6745653,"recording music",8659,8790
8695,8840,0.124784395,5.6112485,"assembling computer",8695,8840
8727,8870,0.15415779,6.0524483,"playing recorder",8727,8870
8760,8924,0.13183534,6.0002165,"recording music",8760,8924
8790,8954,0.17579205,6.4090586,"playing recorder",8790,8954
8840,9005,0.18450661,7.0109367,"recording music",8840,9005
8870,9041,0.1643264,6.2865305,"assembling computer",8870,9041
8924,9094,0.14430138,5.8473625,"playing recorder",8924,9094
8954,9124,0.12614772,5.7232833,"playing recorder",8954,9124
9005,9165,0.13084294,5.6663694,"playing recorder",9005,9165
9041,9206,0.21249941,6.5523887,"playing recorder",9041,9206
9094,9259,0.21996802,6.6314635,"playing recorder",9094,9259
9124,9289,0.29710805,7.354808,"playing recorder",9124,9289
9165,9319,0.33712423,7.3390946,"playing recorder",9165,9319
9206,9360,0.29777992,6.924455,"playing recorder",9206,9360
9259,9392,0.31413063,7.265348,"playing recorder",9259,9392
9289,9431,0.26589936,6.9212794,"playing recorder",9289,9431
9319,9469,0.23417795,6.745413,"playing recorder",9319,9469
9360,9499,0.16952635,6.323026,"playing recorder",9360,9499
9392,9529,0.16009767,6.2145944,"assembling computer",9392,9529
9431,9566,0.2535603,6.948511,"assembling computer",9431,9566
9469,9596,0.2660384,7.075577,"assembling computer",9469,9596
9499,9626,0.19579785,6.57071,"playing recorder",9499,9626
